279.817,101795,274.796,289.669,2.226,-0.81,0.0053,5.9e-09
279.817,101219,285.683,256.648,5.755,-2.095,0.00521,0
280.372,100677,299.966,271.905,4.243,-1.544,0.00468,0
280.928,100406,274.86,298.808,3.621,0,0.00468,0
279.817,100914,319.991,173.921,3.403,1.238,0.00523,5.9e-09
282.039,101084,327.095,127.704,2.26,-1.897,0.00537,0
282.594,100644,320.498,172.409,3.252,-1.878,0.00419,8.8e-09
283.15,100136,307.199,182.404,3.487,0,0.00639,0
282.594,100339,313.915,205.376,3.067,-1.116,0.00659,0
278.15,100508,318.07,208.253,5.855,-1.032,0.00506,0
279.261,100136,320.37,189.296,4.336,0,0.00412,0
284.261,100034,308.97,256.352,-2.436,0.887,0.00655,3.23e-08
288.15,100237,331.908,214.312,-3.6,2.079,0.00824,5.9e-09
290.372,100034,310.248,271.132,-0.675,-3.83,0.00903,0
283.706,100169,310.946,260.13,2.529,3.014,0.00735,0
280.928,100237,287.084,280.633,2.553,0.45,0.00415,0
280.928,100948,301.718,230.739,6.884,0,0.00584,0
278.15,101355,319.113,158.236,4.711,0.831,0.00382,3e-10
279.817,101727,322.127,162.268,3.698,0.652,0.00512,3e-10
280.928,102100,324.096,167.925,1.815,1.523,0.00512,3e-10
283.15,102472,321.542,178.881,-2.013,1.162,0.00563,8.8e-09
285.743,102314,321.542,178.881,3.167,1.477,0.00642,0
285.928,102845,324.165,194.225,-0.78,-2.142,0.00639,0
290.372,102777,315.405,276.261,2.633,-1.52,0.00818,0
294.261,101964,318.781,291.19,-6.763,2.462,0.00819,0
286.483,102404,335.329,191.545,4.041,3.391,0.00713,0
286.483,102303,324.552,170.492,-1.147,-3.151,0.00629,0
289.261,101896,347.71,136.748,0.902,-2.478,0.00871,3e-10
291.483,101626,362.138,180.005,5.186,0,0.00875,0
285.928,101795,354.084,118.96,3.319,-1.208,0.00637,0
282.594,102134,340.919,158.104,4.621,1.682,0.00581,3e-10
283.706,102337,323.753,190.975,1.438,-1.207,0.00578,3e-10
289.817,101863,307.269,263.709,-3.151,1.147,0.00548,0
291.483,101558,323.671,241.202,3.04,0,0.00915,0
293.706,101050,340.973,268.607,-1.407,3.865,0.01043,8.8e-09
288.706,101422,359.423,154.675,3.116,2.615,0.00978,2.9e-09
286.483,101964,325.201,224.414,3.151,-2.644,0.00726,0
288.15,101761,348.242,168.414,2.363,-1.983,0.00747,0
