atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
6.71296e-05 1.32779e-05 3.61631e-05 4.30319e-05 1.50859e-05 2.83004e-06 8.01294e-06 2.08177e-05 -1.63048e+00
2.31481e-06 4.04013e-07 3.66614e-05 -2.10254e-06 5.20145e-07 3.47824e-06 5.20145e-07 2.26527e-05 -9.24304e-01
1.85185e-05 3.22558e-06 3.62850e-05 7.83237e-06 4.16066e-06 3.29839e-06 1.47395e-06 2.06936e-05 -1.42580e+00
2.08333e-05 3.62123e-06 3.52718e-05 9.93187e-06 4.68025e-06 2.59792e-06 7.36696e-06 1.86691e-05 -1.47168e+00
2.77778e-05 4.80501e-06 3.38267e-05 1.34351e-05 6.24075e-06 3.28947e-06 6.24075e-06 1.88128e-05 1.60542e-01
3.10185e-04 6.16538e-05 3.21772e-05 2.10876e-04 6.97056e-05 2.75784e-06 3.27023e-05 1.32754e-05 -3.49710e-01
3.35648e-04 7.21842e-05 3.06709e-05 2.43442e-04 7.54462e-05 2.52685e-06 9.26771e-06 1.78287e-05 3.66608e-01
1.18056e-04 2.19419e-05 3.05802e-05 8.34416e-05 2.65444e-05 2.35242e-06 1.38636e-05 1.89226e-05 1.96644e+00
1.36343e-03 3.00340e-04 3.38997e-05 9.16658e-04 3.06617e-04 2.26878e-06 1.66189e-05 1.69504e-05 3.59709e-01
2.08333e-05 3.95327e-06 6.61404e-05 1.11484e-04 4.68629e-06 3.27449e-06 4.68629e-06 2.10479e-05 -8.77287e-02
3.17130e-04 7.29484e-05 1.15050e-04 2.38085e-04 7.13530e-05 2.05871e-06 2.74665e-05 1.13646e-05 8.57659e-01
2.80093e-04 6.69941e-05 1.26404e-04 1.95490e-04 6.30350e-05 2.06735e-06 1.70475e-05 1.42524e-05 1.12334e+00
4.62963e-06 9.25092e-07 1.42638e-04 5.60346e-06 1.04215e-06 2.48729e-06 1.04215e-06 2.23211e-05 9.99706e-01
2.12963e-04 5.16067e-05 1.45923e-04 1.01837e-04 4.79505e-05 2.85140e-06 1.29674e-05 1.59037e-05 -2.33002e-01
5.39352e-04 1.36527e-04 1.33222e-04 3.17590e-04 1.21469e-04 3.36168e-06 6.41568e-06 2.10714e-05 -1.38249e+00
6.94444e-06 1.37554e-06 1.31471e-04 9.28124e-05 1.56435e-06 2.79115e-06 1.56435e-06 2.10839e-05 8.80638e-01
9.25926e-06 1.84035e-06 1.35817e-04 2.51706e-05 2.08630e-06 3.49296e-06 2.08630e-06 2.18369e-05 -4.90256e-01
1.15741e-05 2.28612e-06 1.29351e-04 7.73656e-06 2.60849e-06 3.24748e-06 2.60849e-06 2.06428e-05 -5.82277e-01
0.00000e+00 0.00000e+00 1.16061e-04 -1.75955e-06 0.00000e+00 2.28505e-06 0.00000e+00 2.60189e-05 2.74211e+00
9.02778e-05 1.97612e-05 1.11812e-04 5.57942e-05 2.03551e-05 3.01135e-06 1.17322e-05 1.84803e-05 1.19655e+00
6.94444e-06 1.34534e-06 1.07946e-04 7.78269e-07 1.56617e-06 3.23039e-06 1.55375e-06 2.30085e-05 -1.09334e+00
2.54630e-05 4.91617e-06 1.01115e-04 1.19393e-05 5.74363e-06 2.84559e-06 5.75605e-06 2.09657e-05 2.60525e-01
