atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
2.45255e-04 4.95490e-05 2.58420e-05 1.64105e-04 5.53820e-05 2.61287e-06 1.73198e-05 1.93696e-05 2.90041e+00
0.00000e+00 0.00000e+00 2.63357e-05 7.22394e-06 0.00000e+00 2.85958e-06 0.00000e+00 2.59065e-05 4.17176e+00
5.78704e-05 1.12485e-05 2.67073e-05 3.86317e-05 1.30684e-05 3.07833e-06 6.28868e-06 2.34254e-05 1.47856e+00
1.85185e-05 3.12953e-06 2.70788e-05 8.67425e-06 4.18198e-06 2.68036e-06 4.18198e-06 2.25576e-05 8.84028e-01
0.00000e+00 0.00000e+00 2.72807e-05 -2.99482e-06 0.00000e+00 2.95467e-06 4.10893e-25 2.35363e-05 2.37894e+00
0.00000e+00 0.00000e+00 2.71747e-05 -3.24044e-06 0.00000e+00 3.23422e-06 1.21384e-23 2.84650e-05 2.07672e+00
0.00000e+00 0.00000e+00 2.66739e-05 -3.31822e-06 0.00000e+00 3.31444e-06 -3.91654e-24 3.41712e-05 3.43840e+00
0.00000e+00 0.00000e+00 2.58026e-05 -2.97049e-06 0.00000e+00 2.95156e-06 3.97032e-24 3.36713e-05 3.90345e+00
0.00000e+00 0.00000e+00 2.46648e-05 -3.46783e-06 0.00000e+00 3.46567e-06 0.00000e+00 3.24308e-05 2.38389e-01
2.31481e-05 3.85459e-06 2.33738e-05 1.06483e-05 5.22804e-06 3.40103e-06 5.22804e-06 3.17341e-05 3.08292e+00
2.08333e-05 3.44732e-06 2.20200e-05 9.71805e-06 4.70532e-06 2.94323e-06 4.70532e-06 2.82179e-05 2.38827e+00
0.00000e+00 0.00000e+00 2.06769e-05 -3.25270e-06 0.00000e+00 3.24879e-06 7.62010e-25 3.12807e-05 1.60378e+00
5.32407e-05 9.29766e-06 1.93866e-05 3.15001e-05 1.20251e-05 3.24502e-06 9.17369e-06 2.79801e-05 1.73430e+00
2.08333e-05 3.37774e-06 1.81765e-05 9.50224e-06 4.70557e-06 3.22084e-06 4.70557e-06 2.97415e-05 2.64731e+00
8.79630e-05 1.45723e-05 1.70553e-05 5.21464e-05 1.98683e-05 3.16678e-06 1.80656e-05 2.17352e-05 -1.65996e-01
0.00000e+00 0.00000e+00 1.60423e-05 -3.54874e-06 0.00000e+00 3.53753e-06 7.32211e-26 2.61790e-05 2.48915e-01
1.68981e-04 3.28747e-05 1.51381e-05 9.15803e-05 3.81926e-05 3.28299e-06 9.21676e-06 2.33768e-05 1.32266e+00
1.04167e-04 1.93063e-05 1.43412e-05 9.79310e-05 2.35580e-05 3.58871e-06 9.88311e-06 2.62793e-05 1.08954e+00
2.77778e-05 4.38444e-06 1.36533e-05 1.89955e-05 6.28602e-06 2.89722e-06 6.28602e-06 2.93667e-05 1.47275e+00
0.00000e+00 0.00000e+00 1.31105e-05 -2.57914e-06 0.00000e+00 3.14143e-06 0.00000e+00 3.31268e-05 1.83442e+00
0.00000e+00 0.00000e+00 1.27071e-05 -3.12053e-06 0.00000e+00 3.15440e-06 0.00000e+00 3.37408e-05 1.74616e+00
8.56481e-05 1.51145e-05 1.23802e-05 5.65665e-05 1.94173e-05 3.18177e-06 1.07701e-05 2.97120e-05 1.10408e+00
3.70370e-05 5.76823e-06 1.20733e-05 1.98470e-05 8.40170e-06 3.00854e-06 8.39188e-06 2.70097e-05 7.87920e-01
0.00000e+00 0.00000e+00 1.17663e-05 -3.34546e-06 0.00000e+00 3.29777e-06 -0.00000e+00 3.26049e-05 1.17822e+00
1.43403e-05 2.21979e-06 1.14597e-05 5.24533e-06 3.25690e-06 3.61560e-06 3.25690e-06 2.96290e-05 1.49801e-01
3.85949e-05 5.95919e-06 1.11542e-05 2.06484e-05 8.77066e-06 3.20427e-06 8.77066e-06 2.00284e-05 -5.46731e-01
3.85949e-05 5.94164e-06 1.08493e-05 2.06209e-05 8.77577e-06 3.24860e-06 8.77577e-06 2.61648e-05 2.18255e-01
3.85949e-05 5.92339e-06 1.05399e-05 2.06709e-05 8.78086e-06 3.20510e-06 8.78086e-06 2.14971e-05 -9.13747e-01
3.85949e-05 5.90489e-06 1.02329e-05 2.08201e-05 8.78592e-06 3.07164e-06 8.78592e-06 1.98614e-05 1.84943e-01
3.85949e-05 5.88658e-06 9.93642e-06 2.09360e-05 8.79094e-06 2.94978e-06 8.79094e-06 1.91227e-05 3.67485e-01
4.41042e-05 6.70596e-06 9.65524e-06 2.43295e-05 1.00515e-05 3.01348e-06 1.00515e-05 1.95556e-05 -1.08431e+00
6.04938e-05 9.41467e-06 9.39164e-06 3.51432e-05 1.37946e-05 3.38053e-06 1.25428e-05 1.73110e-05 -2.45844e+00
2.93981e-04 5.32926e-05 9.14785e-06 1.57088e-04 6.70748e-05 2.83400e-06 2.18652e-05 2.16387e-05 4.63569e-01
0.00000e+00 0.00000e+00 8.92612e-06 4.56165e-05 0.00000e+00 2.91738e-06 1.23117e-23 3.44761e-05 3.01488e+00
0.00000e+00 0.00000e+00 8.75104e-06 5.56253e-06 0.00000e+00 3.48138e-06 0.00000e+00 2.85797e-05 -2.02731e+00
4.16667e-05 6.26292e-06 8.65469e-06 2.40749e-05 9.52243e-06 2.92081e-06 9.52243e-06 2.58314e-05 3.55285e-01
9.25926e-06 1.39109e-06 8.61907e-06 2.23868e-06 2.11725e-06 3.60889e-06 2.11725e-06 3.04999e-05 7.60171e-01
0.00000e+00 0.00000e+00 8.60636e-06 -3.15526e-06 0.00000e+00 3.14012e-06 0.00000e+00 3.44784e-05 1.88856e+00
5.32407e-05 8.22377e-06 8.58703e-06 3.07188e-05 1.21873e-05 3.29237e-06 1.10017e-05 2.56226e-05 -1.81073e+00
0.00000e+00 0.00000e+00 8.54536e-06 -3.05407e-06 0.00000e+00 3.05059e-06 0.00000e+00 2.49977e-05 -1.78625e+00
3.47222e-05 5.28359e-06 8.47487e-06 1.97416e-05 7.95670e-06 2.07833e-06 7.55172e-06 3.46382e-05 5.97521e+00
0.00000e+00 0.00000e+00 8.37256e-06 -3.48751e-06 0.00000e+00 3.48382e-06 0.00000e+00 3.70332e-05 4.77316e-01
4.62963e-06 6.91592e-07 8.24016e-06 6.61754e-08 1.06201e-06 2.80691e-06 1.06201e-06 3.24386e-05 1.70300e+00
0.00000e+00 0.00000e+00 8.08363e-06 -3.27260e-06 0.00000e+00 3.26972e-06 -1.19553e-25 2.66532e-05 -2.44801e+00
1.15741e-05 1.72126e-06 7.90828e-06 4.23844e-06 2.65777e-06 2.94823e-06 2.65777e-06 3.25923e-05 2.95515e+00
0.00000e+00 0.00000e+00 7.71465e-06 -2.78206e-06 0.00000e+00 2.76089e-06 -7.62010e-25 3.66417e-05 4.66164e+00
0.00000e+00 0.00000e+00 7.50419e-06 -3.48082e-06 0.00000e+00 3.47776e-06 7.62010e-25 3.33487e-05 -1.36620e+00
0.00000e+00 0.00000e+00 7.28219e-06 -2.67585e-06 0.00000e+00 2.64865e-06 0.00000e+00 3.91568e-05 4.17775e+00
6.94444e-06 1.01997e-06 7.05111e-06 1.34050e-06 1.59683e-06 2.97228e-06 1.59683e-06 3.77162e-05 1.64821e+00
0.00000e+00 0.00000e+00 6.81454e-06 -2.54162e-06 0.00000e+00 2.53859e-06 0.00000e+00 3.70814e-05 9.49374e-01
1.85185e-05 2.70145e-06 6.57621e-06 8.42004e-06 4.25967e-06 3.13580e-06 4.25967e-06 2.94219e-05 3.36323e-01
0.00000e+00 0.00000e+00 6.34074e-06 -2.84049e-06 0.00000e+00 2.79366e-06 -1.19553e-25 3.25345e-05 2.01649e+00
1.15741e-05 1.67619e-06 6.10979e-06 4.63213e-06 2.66320e-06 2.58847e-06 2.66320e-06 3.29920e-05 2.91733e+00
6.94444e-05 1.13008e-05 5.88446e-06 4.58517e-05 1.59819e-05 3.16896e-06 9.10313e-06 2.56568e-05 -5.03314e-01
3.93519e-05 5.65612e-06 5.66737e-06 2.20368e-05 9.05791e-06 2.58376e-06 9.05077e-06 2.99740e-05 4.38924e+00
1.87500e-04 3.22538e-05 5.45894e-06 9.99125e-05 4.31655e-05 2.58782e-06 1.02390e-05 3.21537e-05 2.07970e+00
0.00000e+00 0.00000e+00 5.25928e-06 3.02645e-05 0.00000e+00 2.45213e-06 3.71178e-06 3.58774e-05 2.31578e+00
9.25926e-05 1.44786e-05 5.06976e-06 6.57465e-05 2.13234e-05 3.51082e-06 1.41611e-05 3.01948e-05 -1.80639e-01
0.00000e+00 0.00000e+00 4.89369e-06 -2.72876e-06 0.00000e+00 3.32826e-06 0.00000e+00 3.61168e-05 1.48241e+00
0.00000e+00 0.00000e+00 4.73249e-06 -2.63839e-06 0.00000e+00 2.67120e-06 -0.00000e+00 4.00115e-05 2.66805e+00
0.00000e+00 0.00000e+00 4.58581e-06 -3.40152e-06 0.00000e+00 3.39849e-06 0.00000e+00 3.80703e-05 7.83103e-01
2.31481e-05 3.24603e-06 4.45194e-06 1.11559e-05 5.33440e-06 3.40829e-06 5.33440e-06 2.99260e-05 -1.45764e+00
0.00000e+00 0.00000e+00 4.32887e-06 -3.37611e-06 0.00000e+00 3.24264e-06 4.02410e-24 2.92409e-05 -7.07736e-01
0.00000e+00 0.00000e+00 4.21387e-06 -2.61325e-06 0.00000e+00 2.56836e-06 0.00000e+00 3.73641e-05 4.49350e+00
2.77778e-04 4.66679e-05 4.10388e-06 1.63939e-04 6.40454e-05 2.81144e-06 1.95831e-05 2.27055e-05 7.97504e-01
4.86111e-05 7.58626e-06 3.99872e-06 6.81609e-05 1.12098e-05 3.58606e-06 6.55892e-06 2.56814e-05 -2.30266e+00
4.07407e-04 6.97046e-05 3.89865e-06 1.96246e-04 9.39650e-05 2.63061e-06 1.97916e-05 2.57086e-05 2.93818e+00
6.71296e-05 9.83488e-06 3.80656e-06 1.41021e-04 1.54855e-05 3.63349e-06 1.23114e-05 2.05800e-05 -5.13415e+00
0.00000e+00 0.00000e+00 3.73101e-06 2.04848e-05 0.00000e+00 2.24290e-06 1.58813e-23 4.02845e-05 5.62579e+00
0.00000e+00 0.00000e+00 3.68362e-06 1.15307e-06 0.00000e+00 2.19703e-06 -2.44895e-38 3.87612e-05 5.24349e+00
0.00000e+00 0.00000e+00 3.66601e-06 -2.42752e-06 0.00000e+00 2.74334e-06 0.00000e+00 3.16520e-05 -7.28116e-02
2.31481e-06 3.18438e-07 3.66937e-06 -1.46101e-06 5.34340e-07 2.70460e-06 5.34340e-07 3.22554e-05 4.15452e+00
9.25926e-06 1.27423e-06 3.68310e-06 2.91721e-06 2.13772e-06 2.81974e-06 2.13772e-06 3.47194e-05 3.60105e+00
0.00000e+00 0.00000e+00 3.69876e-06 -4.22261e-06 0.00000e+00 4.21860e-06 0.00000e+00 2.82112e-05 -3.48038e+00
1.38889e-05 1.91253e-06 3.71129e-06 5.19937e-06 3.20764e-06 3.49194e-06 3.20764e-06 2.80499e-05 -7.07000e-02
0.00000e+00 0.00000e+00 3.71752e-06 -3.38235e-06 0.00000e+00 3.34519e-06 -1.19553e-25 3.01387e-05 1.62527e+00
4.39815e-05 6.07212e-06 3.71535e-06 2.55786e-05 1.01609e-05 2.24283e-06 1.00694e-05 3.74265e-05 5.34510e+00
0.00000e+00 0.00000e+00 3.70342e-06 -2.96775e-06 0.00000e+00 2.87473e-06 0.00000e+00 3.84097e-05 3.93933e+00
2.31481e-06 3.18375e-07 3.68172e-06 -2.83340e-06 5.34823e-07 4.26440e-06 5.34823e-07 3.01645e-05 -3.30915e+00
0.00000e+00 0.00000e+00 3.65171e-06 -3.62842e-06 0.00000e+00 3.62360e-06 6.35251e-23 2.62154e-05 -1.70639e+00
0.00000e+00 0.00000e+00 3.61485e-06 -3.69836e-06 0.00000e+00 3.66866e-06 0.00000e+00 2.94419e-05 -4.31594e-01
0.00000e+00 0.00000e+00 3.57179e-06 -3.15855e-06 0.00000e+00 3.08890e-06 0.00000e+00 3.71044e-05 5.65241e+00
0.00000e+00 0.00000e+00 3.52267e-06 -2.80285e-06 0.00000e+00 2.75633e-06 0.00000e+00 3.39234e-05 1.88557e-01
2.08333e-04 3.42116e-05 3.46842e-06 1.54964e-04 4.81327e-05 2.57607e-06 1.59232e-05 2.93833e-05 3.61856e+00
0.00000e+00 0.00000e+00 3.41032e-06 -2.71763e-06 0.00000e+00 3.08742e-06 0.00000e+00 2.84119e-05 5.47280e-01
0.00000e+00 0.00000e+00 3.34992e-06 -3.43761e-06 0.00000e+00 3.42780e-06 1.56733e-38 2.77725e-05 6.73146e-01
7.50000e-04 1.29389e-04 3.28943e-06 2.12429e-04 1.73274e-04 3.13944e-06 1.22551e-05 2.17494e-05 -1.46856e+00
6.45833e-04 1.13579e-04 3.23104e-06 6.59888e-04 1.49208e-04 2.46917e-06 8.81654e-06 3.00673e-05 3.01682e+00
1.36574e-04 2.27997e-05 3.19925e-06 2.90667e-04 3.15527e-05 2.61060e-06 7.34783e-06 2.66967e-05 -1.44088e-01
0.00000e+00 0.00000e+00 3.28436e-06 5.22025e-05 0.00000e+00 2.99475e-06 1.58813e-23 3.38933e-05 9.13585e-01
0.00000e+00 0.00000e+00 3.51254e-06 7.37668e-06 0.00000e+00 2.71987e-06 4.78212e-25 3.92716e-05 4.65517e+00
4.44444e-04 7.72949e-05 3.87050e-06 2.99613e-04 1.02678e-04 1.99582e-06 1.29212e-05 2.81997e-05 1.54608e+00
1.11111e-04 1.81314e-05 4.39296e-06 1.22050e-04 2.56694e-05 3.45565e-06 1.16256e-05 2.71647e-05 -5.12674e+00
0.00000e+00 0.00000e+00 5.20849e-06 5.47656e-06 0.00000e+00 2.95428e-06 -1.34447e-26 3.18982e-05 9.58491e-01
0.00000e+00 0.00000e+00 6.45847e-06 -2.20332e-06 0.00000e+00 3.17445e-06 6.06919e-24 3.37828e-05 -3.20469e-01
0.00000e+00 0.00000e+00 8.13230e-06 -3.44844e-06 0.00000e+00 3.42171e-06 4.03340e-26 3.15923e-05 -1.28516e+00
4.62963e-06 7.06427e-07 9.98893e-06 -5.76290e-07 1.06954e-06 3.21798e-06 1.06954e-06 2.73991e-05 -1.33318e-01
0.00000e+00 0.00000e+00 1.16966e-05 -3.33849e-06 0.00000e+00 3.27014e-06 -1.34447e-26 2.97586e-05 -8.60487e-01
0.00000e+00 0.00000e+00 1.30299e-05 -3.30027e-06 0.00000e+00 3.21378e-06 2.68893e-26 2.94375e-05 -3.69160e-01
5.45063e-05 8.57073e-06 1.39311e-05 3.05439e-05 1.25918e-05 2.72002e-06 1.16023e-05 2.61391e-05 -6.43547e-01
4.87744e-05 7.86067e-06 1.44504e-05 2.86060e-05 1.12676e-05 1.81719e-06 1.14161e-05 3.14393e-05 2.11667e+00
0.00000e+00 0.00000e+00 1.46760e-05 -3.49039e-06 0.00000e+00 3.43176e-06 1.90503e-25 3.05744e-05 -4.18162e-01
0.00000e+00 0.00000e+00 1.47108e-05 -2.87515e-06 0.00000e+00 2.85590e-06 0.00000e+00 3.36928e-05 1.11355e+00
1.13426e-04 2.19925e-05 1.46027e-05 7.78078e-05 2.62025e-05 2.60299e-06 3.16414e-07 3.16651e-05 1.28297e+00
2.50000e-04 5.07948e-05 1.43796e-05 1.90538e-04 5.77523e-05 2.35511e-06 8.36407e-06 2.96474e-05 5.17245e-01
3.19444e-04 6.32958e-05 1.41764e-05 2.22713e-04 7.37942e-05 2.92223e-06 1.03119e-05 2.21606e-05 -3.36467e+00
1.15741e-05 1.82448e-06 1.43335e-05 2.92620e-05 2.67369e-06 1.74150e-06 2.67369e-06 3.08426e-05 2.58185e+00
2.31481e-06 3.67792e-07 1.51039e-05 1.72577e-06 5.34734e-07 3.59942e-06 5.34734e-07 2.92506e-05 -2.30750e+00
0.00000e+00 0.00000e+00 1.62465e-05 -2.94547e-06 0.00000e+00 3.28535e-06 2.20819e-15 2.53704e-05 -1.79295e+00
2.91667e-04 5.78548e-05 1.73607e-05 1.45076e-04 6.73516e-05 2.96483e-06 1.49286e-05 2.15093e-05 -2.97766e-01
1.99074e-04 3.85199e-05 1.82218e-05 1.94230e-04 4.59616e-05 2.86626e-06 1.55852e-05 2.04694e-05 2.45015e-01
4.46759e-04 9.02482e-05 1.91754e-05 3.32977e-04 1.03127e-04 2.40577e-06 1.87726e-05 1.45959e-05 -2.81398e+00
9.49074e-05 1.67282e-05 2.18836e-05 7.59745e-05 2.19038e-05 2.47237e-06 1.67627e-05 1.87544e-05 3.52933e-01
5.87888e-05 9.93732e-06 2.82254e-05 3.52716e-05 1.35653e-05 2.80190e-06 1.28924e-05 1.89736e-05 -7.34034e-01
9.09757e-05 1.57392e-05 3.65566e-05 5.24423e-05 2.09884e-05 2.10806e-06 2.10558e-05 1.72536e-05 -2.65289e-01
9.09757e-05 1.60319e-05 4.38053e-05 5.18196e-05 2.09845e-05 2.02060e-06 2.10633e-05 1.88901e-05 1.02741e+00
9.09757e-05 1.62074e-05 4.87033e-05 5.17195e-05 2.09805e-05 1.94040e-06 2.07254e-05 1.67091e-05 5.38940e-01
9.09757e-05 1.63078e-05 5.15940e-05 5.15530e-05 2.09766e-05 2.09920e-06 2.10027e-05 1.66480e-05 -5.59623e-01
9.09757e-05 1.63516e-05 5.30892e-05 5.13378e-05 2.09726e-05 2.04194e-06 2.09292e-05 1.89713e-05 -9.49871e-02
9.09757e-05 1.63695e-05 5.36272e-05 5.17017e-05 2.09686e-05 1.88273e-06 2.05858e-05 2.10785e-05 1.95724e-01
9.09757e-05 1.63673e-05 5.34880e-05 5.15455e-05 2.09646e-05 1.82052e-06 2.13345e-05 1.96754e-05 8.67238e-01
9.09757e-05 1.63528e-05 5.28903e-05 5.13329e-05 2.09606e-05 2.23020e-06 2.11804e-05 1.94320e-05 -1.03013e+00
8.57729e-05 1.53949e-05 5.20020e-05 4.82323e-05 1.97583e-05 2.36694e-06 2.01292e-05 1.54745e-05 -2.17659e+00
3.67718e-05 6.58565e-06 5.09693e-05 1.91661e-05 8.46893e-06 2.47778e-06 8.46495e-06 2.32912e-05 2.18447e+00
3.67718e-05 6.56978e-06 4.97005e-05 1.91142e-05 8.46725e-06 2.51610e-06 8.46355e-06 2.07573e-05 8.19935e-02
9.15124e-05 1.74606e-05 4.79968e-05 5.51463e-05 2.10679e-05 2.81295e-06 1.59785e-05 2.16443e-05 -1.44580e-01
0.00000e+00 0.00000e+00 4.58943e-05 -3.11100e-06 0.00000e+00 3.07263e-06 0.00000e+00 2.55612e-05 1.22704e-01
1.73611e-04 3.57406e-05 4.36695e-05 1.06273e-04 3.99526e-05 2.85264e-06 1.74778e-05 1.74671e-05 -8.76689e-01
0.00000e+00 0.00000e+00 4.14643e-05 6.67908e-06 0.00000e+00 2.81803e-06 0.00000e+00 2.49745e-05 7.61348e-01
9.25926e-05 1.89499e-05 3.95795e-05 6.29674e-05 2.12995e-05 2.79691e-06 9.07456e-06 2.33594e-05 1.89751e-01
4.62963e-06 8.06706e-07 3.80241e-05 -5.46849e-07 1.06476e-06 3.41989e-06 1.06476e-06 2.68093e-05 -2.24372e+00
2.31481e-06 4.01954e-07 3.66326e-05 -1.91633e-06 5.32273e-07 3.25383e-06 5.32273e-07 2.37055e-05 -3.32155e+00
2.31481e-06 4.00391e-07 3.51641e-05 -1.56957e-06 5.32165e-07 2.84534e-06 5.32165e-07 2.61726e-05 5.52286e-01
0.00000e+00 0.00000e+00 3.34651e-05 -3.10483e-06 0.00000e+00 3.04412e-06 6.35251e-23 2.61688e-05 6.99673e-01
3.24074e-05 5.52972e-06 3.15754e-05 1.64540e-05 7.44727e-06 2.91242e-06 7.44062e-06 2.26746e-05 7.48224e-01
0.00000e+00 0.00000e+00 2.96065e-05 -3.29185e-06 0.00000e+00 3.21615e-06 0.00000e+00 3.09685e-05 4.93276e-01
2.08333e-04 4.31979e-05 2.76423e-05 1.06492e-04 4.78557e-05 3.43418e-06 1.07597e-05 2.27501e-05 -2.12405e+00
2.93981e-04 6.11857e-05 2.57922e-05 2.21782e-04 6.75159e-05 2.57124e-06 1.27253e-05 2.16392e-05 2.37207e+00
0.00000e+00 0.00000e+00 2.43366e-05 2.97617e-05 0.00000e+00 3.43609e-06 0.00000e+00 2.77973e-05 -5.72774e-01
0.00000e+00 0.00000e+00 2.37266e-05 2.39629e-06 0.00000e+00 3.56323e-06 -1.39590e-38 3.12353e-05 -2.77805e-01
2.62346e-06 4.35623e-07 2.36949e-05 -8.03318e-07 6.02142e-07 3.11130e-06 6.02142e-07 2.81065e-05 9.55906e-01
3.67718e-05 6.10737e-06 2.37121e-05 1.93961e-05 8.43826e-06 2.87144e-06 8.43389e-06 2.26399e-05 -4.18675e-01
3.67718e-05 6.10253e-06 2.35064e-05 1.95470e-05 8.43656e-06 2.61831e-06 8.43347e-06 2.62630e-05 2.04588e+00
3.67718e-05 6.09114e-06 2.30438e-05 1.94216e-05 8.43486e-06 2.78860e-06 8.43128e-06 2.39904e-05 4.55557e-01
3.67718e-05 6.07406e-06 2.24053e-05 1.96953e-05 8.43316e-06 2.55055e-06 8.43198e-06 2.34611e-05 -1.27194e+00
3.67718e-05 6.05500e-06 2.16710e-05 1.95404e-05 8.43145e-06 2.69742e-06 8.42713e-06 2.40282e-05 1.83152e+00
3.67718e-05 6.03327e-06 2.08939e-05 1.94730e-05 8.42974e-06 2.71793e-06 8.42576e-06 2.23162e-05 -4.06025e-01
3.67718e-05 6.01013e-06 2.01108e-05 1.99824e-05 8.42803e-06 2.27646e-06 8.42662e-06 2.29083e-05 1.54008e+00
3.67718e-05 5.98787e-06 1.93411e-05 1.93368e-05 8.42631e-06 2.93712e-06 8.42126e-06 2.29743e-05 6.25464e-01
3.67718e-05 5.96456e-06 1.85966e-05 1.92362e-05 8.42458e-06 3.12614e-06 8.42069e-06 2.49332e-05 5.09164e-01
3.67718e-05 5.94134e-06 1.78792e-05 1.94513e-05 8.42285e-06 2.91765e-06 8.41983e-06 2.72572e-05 1.37517e+00
3.67718e-05 5.91836e-06 1.71885e-05 1.99199e-05 8.42112e-06 2.49723e-06 8.41799e-06 2.04990e-05 4.60144e-01
3.81890e-05 6.12297e-06 1.65343e-05 2.06413e-05 8.74387e-06 2.64082e-06 8.73920e-06 2.24402e-05 2.48376e+00
5.78800e-05 9.24197e-06 1.59166e-05 3.22675e-05 1.32497e-05 3.05461e-06 1.32496e-05 2.10727e-05 -4.41804e+00
5.78800e-05 9.20839e-06 1.53384e-05 3.24134e-05 1.32470e-05 2.96985e-06 1.32470e-05 1.52935e-05 -7.26640e+00
5.78800e-05 9.17687e-06 1.48114e-05 3.31577e-05 1.32443e-05 2.22943e-06 1.32443e-05 1.90431e-05 -1.18179e+00
5.78800e-05 9.14791e-06 1.43409e-05 3.35251e-05 1.32417e-05 1.80221e-06 1.32416e-05 1.72212e-05 9.51004e-01
5.78800e-05 9.12220e-06 1.39332e-05 3.34679e-05 1.32390e-05 1.83375e-06 1.32390e-05 1.70274e-05 -1.30695e-01
5.78800e-05 9.10003e-06 1.35888e-05 3.28014e-05 1.32363e-05 2.72016e-06 1.32362e-05 1.70933e-05 -4.90319e+00
5.78800e-05 9.08142e-06 1.33041e-05 3.36252e-05 1.32336e-05 1.89928e-06 1.32336e-05 1.58578e-05 -2.51528e+00
5.78800e-05 9.06623e-06 1.30741e-05 3.33482e-05 1.32309e-05 2.20085e-06 1.32309e-05 1.52518e-05 -2.89557e+00
5.78800e-05 9.05424e-06 1.28934e-05 3.36269e-05 1.32282e-05 1.83566e-06 1.32282e-05 1.45535e-05 -1.74086e+00
5.78800e-05 9.04523e-06 1.27569e-05 3.36752e-05 1.32255e-05 1.90356e-06 1.32255e-05 1.58868e-05 -1.36019e+00
5.78800e-05 9.03883e-06 1.26582e-05 3.36342e-05 1.32228e-05 1.76685e-06 1.32227e-05 1.63684e-05 -3.53277e-01
5.78800e-05 9.03470e-06 1.25922e-05 3.35987e-05 1.32200e-05 1.98689e-06 1.32201e-05 1.42332e-05 -1.99408e+00
5.78800e-05 9.03269e-06 1.25559e-05 3.39253e-05 1.32173e-05 1.57710e-06 1.32173e-05 1.35595e-05 -5.38028e-01
5.78800e-05 9.03264e-06 1.25469e-05 3.39484e-05 1.32146e-05 1.62402e-06 1.32146e-05 1.37686e-05 -1.08037e-01
5.78800e-05 9.03436e-06 1.25625e-05 3.38394e-05 1.32118e-05 1.46126e-06 1.32118e-05 1.63671e-05 2.12065e+00
5.78800e-05 9.03749e-06 1.25980e-05 3.35734e-05 1.32091e-05 2.01404e-06 1.32091e-05 1.46900e-05 -9.70482e-01
5.78800e-05 9.04235e-06 1.26513e-05 3.37373e-05 1.32040e-05 1.68869e-06 1.32040e-05 1.33674e-05 -2.79639e-01
5.78800e-05 9.04838e-06 1.27212e-05 3.33854e-05 1.31990e-05 2.06071e-06 1.31990e-05 1.37986e-05 -1.81934e+00
5.78800e-05 9.05541e-06 1.28055e-05 3.36147e-05 1.31939e-05 1.80090e-06 1.31939e-05 1.45646e-05 -7.76843e-01
5.78800e-05 9.06328e-06 1.29023e-05 3.31763e-05 1.31888e-05 2.43230e-06 1.31888e-05 1.16084e-05 -5.27679e+00
5.78800e-05 9.07205e-06 1.30126e-05 3.36926e-05 1.31837e-05 1.64885e-06 1.31837e-05 1.36152e-05 2.54215e-02
5.78800e-05 9.08153e-06 1.31339e-05 3.35735e-05 1.31785e-05 1.92649e-06 1.31785e-05 1.55036e-05 -8.67637e-01
5.78800e-05 9.09144e-06 1.32625e-05 3.37212e-05 1.31734e-05 1.76408e-06 1.31734e-05 1.60887e-05 6.12636e-01
5.78800e-05 9.10152e-06 1.33945e-05 3.34515e-05 1.31682e-05 2.08351e-06 1.31681e-05 1.79430e-05 -1.22603e+00
5.78800e-05 9.11142e-06 1.35254e-05 3.33947e-05 1.31629e-05 2.15019e-06 1.31630e-05 1.25242e-05 -3.34556e+00
5.78800e-05 9.12135e-06 1.36575e-05 3.34450e-05 1.31577e-05 2.04203e-06 1.31577e-05 1.48098e-05 -1.20101e+00
5.78800e-05 9.13118e-06 1.37892e-05 3.32404e-05 1.31524e-05 2.32124e-06 1.31524e-05 1.59044e-05 -1.94771e+00
5.78800e-05 9.14082e-06 1.39193e-05 3.34777e-05 1.31471e-05 2.06788e-06 1.31471e-05 1.47295e-05 -2.21371e+00
5.78800e-05 9.15036e-06 1.40487e-05 3.37378e-05 1.31418e-05 1.80795e-06 1.31419e-05 1.31105e-05 -1.53888e+00
5.78800e-05 9.15994e-06 1.41796e-05 3.34833e-05 1.31365e-05 2.07536e-06 1.31365e-05 1.21822e-05 -2.36080e+00
5.61541e-05 8.89623e-06 1.43147e-05 3.24863e-05 1.27396e-05 1.79518e-06 1.27396e-05 1.59373e-05 1.30290e+00
2.31481e-05 3.67185e-06 1.44494e-05 1.18576e-05 5.24942e-06 2.29871e-06 5.24942e-06 2.34755e-05 7.58228e+00
2.31481e-06 3.67464e-07 1.45647e-05 -2.01686e-06 5.24726e-07 3.40330e-06 5.24726e-07 2.94169e-05 4.39555e+00
0.00000e+00 0.00000e+00 1.46228e-05 -2.97646e-06 0.00000e+00 2.93697e-06 0.00000e+00 2.16710e-05 2.10681e+00
0.00000e+00 0.00000e+00 1.45951e-05 -3.30810e-06 0.00000e+00 3.27622e-06 3.13465e-38 2.55272e-05 2.66120e+00
0.00000e+00 0.00000e+00 1.44576e-05 -3.11402e-06 0.00000e+00 3.11127e-06 0.00000e+00 2.64704e-05 1.70032e+00
0.00000e+00 0.00000e+00 1.42092e-05 -3.02265e-06 0.00000e+00 3.01516e-06 0.00000e+00 2.42994e-05 2.83501e+00
